epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,17906,1.10015,0.98459,1.4499,0.93213,0.89574,0.94869,0.60605,1.20886,0.71262,1.53246,0.004357,0.004357,0.004357
59,18180.5,1.09999,0.99571,1.44785,0.86672,0.88321,0.92795,0.58853,1.21579,0.76872,1.52068,0.004258,0.004258,0.004258
60,18454.1,1.09793,1.01584,1.45342,0.9026,0.92517,0.9492,0.59546,1.22156,0.71586,1.53868,0.004159,0.004159,0.004159
61,18728.1,1.08224,0.97552,1.43368,0.92252,0.89765,0.94605,0.60106,1.17823,0.7347,1.49229,0.00406,0.00406,0.00406
62,19002.7,1.08591,0.97826,1.43768,0.89136,0.90283,0.94067,0.59873,1.1835,0.71632,1.49311,0.003961,0.003961,0.003961
63,19278.2,1.08733,0.97456,1.44407,0.8449,0.93104,0.93023,0.59439,1.22826,0.75153,1.53337,0.003862,0.003862,0.003862
64,19553.5,1.08051,0.96064,1.43317,0.92002,0.92132,0.94423,0.60252,1.19997,0.68877,1.52992,0.003763,0.003763,0.003763
65,19827.7,1.08086,0.9792,1.43755,0.89359,0.89821,0.93475,0.60334,1.19957,0.73869,1.49843,0.003664,0.003664,0.003664
66,20101.4,1.06705,0.9476,1.41803,0.91867,0.92341,0.94831,0.60784,1.1655,0.72586,1.48369,0.003565,0.003565,0.003565
67,20376.4,1.07285,0.94805,1.42682,0.90161,0.8926,0.92468,0.60467,1.17357,0.72149,1.52982,0.003466,0.003466,0.003466
68,20652.6,1.07042,0.93147,1.41897,0.89747,0.88638,0.92543,0.59645,1.20411,0.71694,1.52543,0.003367,0.003367,0.003367
69,20927.6,1.0568,0.92201,1.40772,0.90607,0.93176,0.95205,0.61446,1.16023,0.67361,1.49032,0.003268,0.003268,0.003268
70,21205.6,1.07024,0.93305,1.4142,0.90417,0.91007,0.93743,0.60897,1.19606,0.68158,1.49245,0.003169,0.003169,0.003169
71,21481,1.05349,0.92719,1.40125,0.88376,0.90984,0.92762,0.5928,1.23012,0.71971,1.53583,0.00307,0.00307,0.00307
72,21755.9,1.05715,0.93487,1.41141,0.87231,0.90925,0.93208,0.59499,1.21212,0.72474,1.55208,0.002971,0.002971,0.002971
73,22030.7,1.06321,0.92554,1.41945,0.88788,0.88715,0.93183,0.6095,1.14293,0.7082,1.49824,0.002872,0.002872,0.002872
74,22305.5,1.06186,0.93689,1.41831,0.91091,0.90962,0.93245,0.60839,1.18371,0.68532,1.50003,0.002773,0.002773,0.002773
75,22580.4,1.05018,0.92783,1.4144,0.93034,0.91093,0.9477,0.60409,1.1691,0.71922,1.51489,0.002674,0.002674,0.002674
76,22855.9,1.04458,0.9223,1.40326,0.92481,0.89408,0.9407,0.60073,1.1846,0.6894,1.51525,0.002575,0.002575,0.002575
77,23132,1.04719,0.90806,1.4076,0.91145,0.92013,0.93024,0.58574,1.1942,0.73718,1.50311,0.002476,0.002476,0.002476
78,23406.9,1.04599,0.92211,1.40679,0.89928,0.90728,0.92965,0.60816,1.18455,0.6898,1.53371,0.002377,0.002377,0.002377
79,23683.4,1.02974,0.90029,1.39255,0.89781,0.89778,0.93739,0.6014,1.17455,0.72439,1.49529,0.002278,0.002278,0.002278
80,23958.3,1.04051,0.89218,1.40752,0.90732,0.89652,0.9286,0.60962,1.16061,0.66826,1.49112,0.002179,0.002179,0.002179
81,24233.7,1.03366,0.89794,1.39872,0.89251,0.88853,0.93005,0.60355,1.1714,0.69466,1.51419,0.00208,0.00208,0.00208
82,24508.8,1.03056,0.88619,1.38671,0.9145,0.8983,0.93975,0.62232,1.1569,0.66547,1.54898,0.001981,0.001981,0.001981
83,24783.8,1.02915,0.88413,1.39601,0.89161,0.91649,0.93868,0.61313,1.17407,0.67072,1.52633,0.001882,0.001882,0.001882
84,25059.4,1.01606,0.86184,1.37914,0.89994,0.90864,0.93415,0.60223,1.17613,0.6807,1.51974,0.001783,0.001783,0.001783
85,25334.8,1.01863,0.86899,1.37364,0.90009,0.88374,0.92336,0.60137,1.18876,0.69081,1.50697,0.001684,0.001684,0.001684
86,25610.2,1.02338,0.87865,1.38677,0.91023,0.90553,0.94362,0.6083,1.18063,0.67013,1.52281,0.001585,0.001585,0.001585
87,25886.1,1.01764,0.87522,1.37865,0.89894,0.89513,0.93106,0.60506,1.17066,0.67984,1.50681,0.001486,0.001486,0.001486
88,26161.3,1.0121,0.86273,1.37433,0.91789,0.89924,0.94088,0.60501,1.18637,0.65827,1.51937,0.001387,0.001387,0.001387
89,26436.5,1.01631,0.86866,1.37865,0.88072,0.91662,0.93559,0.60362,1.20287,0.66196,1.52565,0.001288,0.001288,0.001288
90,26711.5,0.99838,0.85025,1.36829,0.90683,0.9064,0.92985,0.60284,1.20244,0.67194,1.54535,0.001189,0.001189,0.001189
91,26989.7,1.00551,0.8542,1.37028,0.91383,0.91242,0.93636,0.60872,1.17689,0.65881,1.5143,0.00109,0.00109,0.00109
92,27265.8,1.00692,0.83469,1.36479,0.90256,0.9161,0.93275,0.60569,1.17209,0.66862,1.51286,0.000991,0.000991,0.000991
93,27540.9,0.9925,0.85101,1.36683,0.91401,0.9099,0.94051,0.61351,1.17473,0.66393,1.53164,0.000892,0.000892,0.000892
94,27816.6,0.9977,0.83819,1.37535,0.90944,0.92212,0.94256,0.6181,1.15681,0.64319,1.49589,0.000793,0.000793,0.000793
95,28092.8,0.99034,0.82979,1.36238,0.9336,0.8985,0.94098,0.60736,1.1742,0.66292,1.53206,0.000694,0.000694,0.000694
96,28367,0.99071,0.83444,1.36914,0.92017,0.89707,0.93939,0.60408,1.17705,0.66472,1.52795,0.000595,0.000595,0.000595
97,28642,0.97295,0.8222,1.34745,0.91618,0.89036,0.93043,0.60153,1.18653,0.66304,1.52738,0.000496,0.000496,0.000496
98,28916.4,0.97587,0.83166,1.35793,0.92352,0.88727,0.9347,0.6085,1.1821,0.65583,1.53163,0.000397,0.000397,0.000397
99,29191.7,0.96912,0.81083,1.34679,0.91289,0.89973,0.93466,0.60551,1.18473,0.66193,1.54324,0.000298,0.000298,0.000298
100,29466.1,0.97609,0.81905,1.34905,0.91398,0.90121,0.93759,0.603,1.18564,0.66628,1.54097,0.000199,0.000199,0.000199
