epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,35914.4,1.07319,0.95761,1.44642,0.86962,0.88817,0.93105,0.6,1.17457,0.72053,1.46074,0.003169,0.003169,0.003169
71,36411,1.05977,0.94412,1.43825,0.90555,0.90052,0.9322,0.59532,1.21071,0.70661,1.49535,0.00307,0.00307,0.00307
72,36909,1.04909,0.94558,1.4399,0.88919,0.92373,0.93419,0.59182,1.21454,0.71346,1.50564,0.002971,0.002971,0.002971
73,37407.8,1.07213,0.95165,1.45495,0.90349,0.88823,0.93819,0.60246,1.16435,0.71018,1.48936,0.002872,0.002872,0.002872
74,37905.3,1.06248,0.96189,1.45056,0.92416,0.90163,0.9527,0.61195,1.16546,0.69568,1.47176,0.002773,0.002773,0.002773
75,38405.1,1.04749,0.95661,1.43867,0.89353,0.89296,0.936,0.60112,1.16038,0.69942,1.47442,0.002674,0.002674,0.002674
76,38905.3,1.04876,0.94016,1.431,0.91367,0.90102,0.95247,0.61417,1.14494,0.67505,1.45215,0.002575,0.002575,0.002575
77,39402.7,1.04996,0.93678,1.44121,0.91222,0.89036,0.94205,0.60227,1.17942,0.69901,1.45979,0.002476,0.002476,0.002476
78,39901.8,1.05416,0.93958,1.44308,0.91173,0.88921,0.9472,0.61266,1.1766,0.68473,1.47914,0.002377,0.002377,0.002377
79,40400.3,1.04101,0.92235,1.42989,0.88908,0.90545,0.94032,0.60785,1.17577,0.67535,1.48708,0.002278,0.002278,0.002278
80,40897.7,1.04125,0.92466,1.43555,0.89257,0.89649,0.9357,0.60294,1.15134,0.68138,1.46473,0.002179,0.002179,0.002179
81,41396.6,1.04178,0.92464,1.43396,0.90286,0.89098,0.94138,0.60444,1.18601,0.67737,1.49492,0.00208,0.00208,0.00208
82,41894,1.03335,0.91372,1.42656,0.91261,0.89812,0.94531,0.61472,1.16004,0.68161,1.49422,0.001981,0.001981,0.001981
83,42395.2,1.03612,0.90718,1.43078,0.89131,0.90001,0.941,0.61621,1.15811,0.65991,1.50265,0.001882,0.001882,0.001882
84,42891.3,1.02393,0.88989,1.41734,0.89056,0.90676,0.93099,0.60504,1.17746,0.69514,1.49555,0.001783,0.001783,0.001783
85,43391.1,1.01934,0.90288,1.40952,0.89451,0.89736,0.93637,0.59867,1.18002,0.68771,1.49606,0.001684,0.001684,0.001684
86,43889.2,1.02464,0.90057,1.42654,0.91273,0.88964,0.94213,0.61378,1.14859,0.66984,1.47692,0.001585,0.001585,0.001585
87,44387.2,1.02088,0.89004,1.41085,0.9044,0.91036,0.93477,0.60392,1.15192,0.68269,1.46547,0.001486,0.001486,0.001486
88,44886.3,1.01973,0.88608,1.40706,0.89814,0.90122,0.94191,0.61154,1.16948,0.67425,1.47641,0.001387,0.001387,0.001387
89,45385.4,1.02045,0.89854,1.41605,0.89317,0.90057,0.93504,0.60618,1.18113,0.70715,1.47634,0.001288,0.001288,0.001288
90,45884.4,1.00342,0.87518,1.40367,0.90814,0.89831,0.93865,0.60481,1.17105,0.69075,1.48168,0.001189,0.001189,0.001189
91,46383.5,1.00994,0.88409,1.40542,0.91032,0.8985,0.93807,0.61052,1.15765,0.67909,1.49254,0.00109,0.00109,0.00109
92,46882.5,1.01326,0.85857,1.40335,0.90174,0.90496,0.9401,0.6127,1.16453,0.67798,1.47764,0.000991,0.000991,0.000991
93,47380.2,1.00521,0.87804,1.40416,0.89224,0.9075,0.93797,0.61623,1.15857,0.6734,1.49146,0.000892,0.000892,0.000892
94,47878,1.01408,0.86524,1.41435,0.88907,0.90932,0.93406,0.61064,1.15856,0.66439,1.46195,0.000793,0.000793,0.000793
95,48376.3,0.99978,0.86497,1.40013,0.90246,0.90482,0.93549,0.6075,1.16969,0.66965,1.49981,0.000694,0.000694,0.000694
96,48874.5,0.99713,0.85924,1.39955,0.91086,0.90693,0.94486,0.61187,1.176,0.66483,1.49605,0.000595,0.000595,0.000595
97,49374.1,0.9899,0.84801,1.38758,0.91099,0.90131,0.93995,0.61028,1.17229,0.67024,1.4932,0.000496,0.000496,0.000496
98,77270.9,0.98575,0.87003,1.39892,0.90963,0.89583,0.94164,0.61437,1.16124,0.66785,1.48343,0.000397,0.000397,0.000397
99,77782.7,0.98101,0.83983,1.38623,0.90297,0.90121,0.94048,0.61095,1.16334,0.67006,1.49469,0.000298,0.000298,0.000298
100,78276.1,0.98119,0.85026,1.38366,0.891,0.90722,0.93815,0.61003,1.16197,0.67911,1.4896,0.000199,0.000199,0.000199
